trade_id;ticker;share_amount;entry_date;entry_price;initial_stop_loss;adr_percent;market_cap;portfolio_risk;sell_shares_price_1;sell_shares_amount_1;sell_shares_date_1;sell_shares_price_2;sell_shares_amount_2;sell_shares_date_2;sell_shares_price_3;sell_shares_amount_3;sell_shares_date_3;trello_trade_review;setup_rating;setup_chart;sell_datetime
1;OLN;100;2021-05-24;48.0600;47.0000;0.0436;7.8390;0.0010;;;;;;;46.9200;100.0;2021-05-26;"grinding stock;
choppy range;";1;1;2021-05-26 11:09:43
2;LEDS;123;2021-05-25;8.4900;7.8500;0.3300;0.0380;0.0010;;;;;;;15.2300;123.0;2021-05-28;"big move before BO (112%);
tight range before BO;
last candle b4 BO very tight;
surfs EMA10 very orderly;
first conso of uptrend;";5;https://www.tradingview.com/x/oIO0X0QI/;2021-05-28 14:32:59
3;MVIS;135;2021-05-25;14.9200;14.1200;0.1331;2.4690;0.0010;;;;21.7000;68.0;2021-06-08;21.2800;67.0;2021-06-11;;;;2021-06-11 11:52:34
4;GME;17;2021-05-25;187.8500;181.0000;0.0914;14.8220;0.0010;;;;239.0300;8.0;2021-05-28;214.3600;9.0;2021-06-10;;;;2021-06-10 15:45:51
5;LGIH;18;2021-05-25;174.7800;168.0000;0.0442;4.2960;0.0010;;;;;;;171.7400;18.0;2021-06-03;;;;2021-06-03 15:56:07
6;SM;124;2021-05-25;18.5990;17.8600;0.0805;2.2250;0.0010;;;;;;;17.8480;124.0;2021-05-25;;;;2021-05-25 09:58:09
7;KTB;78;2021-05-25;65.3200;64.1700;0.0446;3.6690;0.0010;;;;;;;64.0700;78.0;2021-05-25;"too choppy in range;
EMAs not moving upwards;";1;https://www.tradingview.com/x/EBP71eTd/;2021-05-25 11:27:14
8;BGFV;196;2021-05-25;30.0000;29.6300;0.1122;0.6370;0.0010;;;;;;;29.5000;196.0;2021-05-25;;;;2021-05-25 09:59:03
9;SM;109;2021-05-26;18.5490;17.5800;0.0812;2.2250;0.0010;;;;;;;22.7750;109.0;2021-06-08;;;;2021-06-08 09:32:50
10;GOGO;303;2021-05-26;12.3550;12.0000;0.0637;1.3870;0.0010;;;;14.5900;150.0;2021-06-08;12.6500;153.0;2021-06-10;;;;2021-06-10 15:47:56
11;CDE;264;2021-05-26;10.7100;10.3600;0.0637;2.6570;0.0010;;;;;;;10.3500;264.0;2021-05-26;"-choppy stock with many gaps;";2;https://www.tradingview.com/x/rAaj4FSo/;2021-05-26 14:37:49
12;BNTX;34;2021-05-26;201.0300;197.5100;0.0851;48.8770;0.0010;;;;;;;196.6600;34.0;2021-05-27;"good trade;
tight range;
EMA10 very close;
EMA20 was a bit away;";3.5;https://www.tradingview.com/x/pl961bws/;2021-05-27 14:08:40
13;TMST;228;2021-05-27;14.9200;14.4900;0.0771;0.6810;0.0010;;;;;;;15.0540;228.0;2021-06-08;;;;2021-06-08 10:12:10
14;LTHM;189;2021-05-27;19.1900;18.6300;0.0572;2.9140;0.0010;;;;;;;18.9500;189.0;2021-06-10;;;;2021-06-10 15:44:27
15;OLN;82;2021-05-27;49.6800;48.4200;0.0425;7.8390;0.0010;;;;;;;48.4000;82.0;2021-05-28;"grinding stock;
choppy range;
chased the entry here, no setup;";1;https://www.tradingview.com/x/7R1Hv1XY/;2021-05-28 09:47:57
16;WHD;109;2021-05-27;35.2070;34.3100;0.0405;2.6280;0.0010;;;;;;;34.2800;109.0;2021-05-28;"tight conso with tight candles;
EMAs moving upwards;
EMA10 right below it;
clean big move before conso;
not so linear previous moves with large wicks and gaps;";4;https://www.tradingview.com/x/COwXU24y/;2021-05-28 09:33:04
